"","Date","Region","Speed","Height","Gust","SST"
"1",2004-01-01,1,2.33515150712972,NA,2.89255049660651,18.501358617907
"2",2004-01-01,2,3.46944443219238,0.532083333780368,3.96944443881512,18.7559781961395
"3",2004-01-02,1,2.79083333690961,NA,3.38749999334415,18.5749996900558
"4",2004-01-02,2,3.40138887696796,0.605416665474574,3.89305555158191,18.6472223334842
"5",2004-01-03,1,2.37656861821226,NA,3.0118627522506,18.8270833094915
"6",2004-01-03,2,2.94166666600439,0.721250005066395,3.48472222437461,18.9736111958822
"7",2004-01-04,1,3.21305554430518,NA,3.99083334207535,18.9395833412806
"8",2004-01-04,2,3.55972221876598,0.951666675508022,4.20416665905052,19.2305556668176
"9",2004-01-05,1,4.44250002066294,NA,5.21750001788139,19.3104167381922
"10",2004-01-05,2,3.61250000033114,1.23791666825612,4.15694443881512,19.783333381017
"11",2004-01-06,1,4.69352437924294,NA,6.24967721658655,19.4041665395101
"12",2004-01-06,2,4.03888891513149,1.52375000466903,4.77500000927183,20.0750001006656
"13",2004-01-07,1,5.7541666785876,NA,7.60583332578341,17.2374999324481
"14",2004-01-07,2,9.14642856234596,2.57750002543131,10.9823412668137,19.1121028983404
"15",2004-01-08,1,3.64857142961451,NA,4.70547618242956,15.9229165712992
"16",2004-01-08,2,5.75609901734596,1.14958332975705,7.03985505720267,18.3702295609718
"17",2004-01-09,1,3.20525642055063,NA,3.93525641281444,16.0916666984558
"18",2004-01-09,2,3.59166667496579,0.453333333134651,4.14027779839105,18.4408212341548
"19",2004-01-10,1,4.84174243139498,NA,6.78909091624347,15.8541666467985
"20",2004-01-10,2,8.34631642263725,1.88541664679845,10.0066425203557,18.4865335185747
"21",2004-01-11,1,3.80873248763278,NA,5.28045520213973,14.4147644448971
"22",2004-01-11,2,7.72638890478346,1.61374999582767,9.46527779433462,17.871843475284
"23",2004-01-12,1,2.66916665832202,NA,3.41545453383164,14.8043478459552
"24",2004-01-12,2,4.80694443318579,0.685833332439264,5.80138888623979,17.6097222036786
"25",2004-01-13,1,2.24416666552424,NA,2.95750000278155,15.3916667103767
"26",2004-01-13,2,4.19166665772597,0.393333328266939,5.02777776122093,17.4819445080227
"27",2004-01-14,1,2.68249998857578,NA,3.37006409898782,15.6308713212158
"28",2004-01-14,2,3.77035022962496,0.401250003526608,4.48272948614929,17.2097221843286
"29",2004-01-15,1,3.82380951685565,NA,4.67190476528236,16.0916666189829
"30",2004-01-15,2,3.62916667366193,0.897916668405136,4.32361112328039,17.3847220606274
"31",2004-01-16,1,3.0800000111262,NA,3.99388889008098,16.3854167064031
"32",2004-01-16,2,3.38055555936363,0.809583336114883,4.1027778138717,17.4958332247204
"33",2004-01-17,1,3.97833333224058,NA,4.92833333214124,16.2875000437101
"34",2004-01-17,2,5.75803140626437,0.972916665176551,6.7428743991155,17.5321860013953
"35",2004-01-18,1,5.06378786229726,NA,6.11273810239065,16.3000000119209
"36",2004-01-18,2,6.06666667924987,1.62666666507721,7.10277777247959,17.9313129704408
"37",2004-01-19,1,3.91250736697643,NA,4.86866267889257,16.4938404836516
"38",2004-01-19,2,4.44999999304612,1.88791666924953,5.27222220599651,18.2958331108093
"39",2004-01-20,1,3.62514493687429,NA,5.01565218166165,16.0375000238419
"40",2004-01-20,2,6.56666665938165,1.8224999854962,7.87361108925607,17.8216666910383
"41",2004-01-21,1,2.64194444484181,NA,3.40527778085735,15.7958333094915
"42",2004-01-21,2,3.99040404477655,0.680833337207635,4.79848484017632,17.2607322244933
"43",2004-01-22,1,3.14873932522968,NA,4.08040599522428,15.8482955296834
"44",2004-01-22,2,5.06944443782171,0.403749999900659,6.02916664216253,17.2791664865282
"45",2004-01-23,1,4.07333333651225,NA,5.25166665315628,15.8306547942616
"46",2004-01-23,2,5.92910628416688,0.946666665375233,6.98599032028286,17.2347221771876
"47",2004-01-24,1,3.04235294157384,NA,3.68235294216988,15.8416666785876
"48",2004-01-24,2,3.4027777703272,0.443750001490116,4.07638890213437,17.0972222354677
"49",2004-01-25,1,4.44010683522265,NA,5.48440171337535,16.5354166825612
"50",2004-01-25,2,4.68749999917216,0.954583330079913,5.32916665077209,17.208333214124
"51",2004-01-26,1,6.40166669289271,NA,7.83750000794729,17.2312500079473
"52",2004-01-26,2,6.2763888835907,1.54458333551884,7.06249999337726,17.5055556032393
"53",2004-01-27,1,4.83766141436891,NA,6.11124504579057,18.1124998529752
"54",2004-01-27,2,6.1541666669978,1.66166667640209,7.02986111574703,17.8699881638882
"55",2004-01-28,1,5.0198254184844,NA,6.75096508037392,16.8083333770434
"56",2004-01-28,2,9.13750005761782,2.26916667819023,10.9291666547457,17.5236741123777
"57",2004-01-29,1,2.69974358717314,NA,3.46579989373377,16.2543479303126
"58",2004-01-29,2,5.11458333084981,0.887499996771415,6.16458331048489,17.3166668812434
"59",2004-01-30,1,1.92249999617537,NA,2.54083333990226,16.5791669686635
"60",2004-01-30,2,4.54166666666667,0.430416667213043,5.15416664381822,17.0979165633519
"61",2004-01-31,1,3.95638889466309,NA,4.91888889288737,16.9250000913938
"62",2004-01-31,2,6.3270833392938,0.882916669050852,7.35208334525426,17.1250001589457
"63",2004-02-01,1,7.25807972127113,NA,9.00858693148779,16.7279891086661
"64",2004-02-01,2,7.67499998211861,2.05250001947085,9.05208333333333,17.2062500317891
"65",2004-02-02,1,4.75291067984496,NA,6.06031897767689,17.162499944369
"66",2004-02-02,2,4.35833329955737,1.27999999374151,5.19166662295659,17.4250000715256
"67",2004-02-03,1,1.91416666954756,NA,2.65666666726271,16.9687500397364
