"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2004","1","1",4460.06041291489,4158.38335071189,301.677062203,11742.3665232035
"2004","1","10",281505.680902306,121007.303638217,160498.377264193,324116.175917706
"2004","1","11",164248.946852963,18152.406418406,146096.540434557,39963.1252234365
"2004","1","12",10842.7743431383,2241.98442124425,8600.789921894,5674.37133532165
"2004","1","2",7308.92286187906,7308.92286187906,0,38055.1250337667
"2004","1","3",114716.870435058,53104.7322889766,61612.138146081,237249.314367847
"2004","1","4",296302.075386031,107538.73121495,188763.34416825,396699.761485267
"2004","1","5",188220.206955645,57040.5977174793,131179.609238197,119667.347020686
"2004","1","6",122328.989057849,48948.8430931982,73380.1459646482,106385.994787407
"2004","1","7",174880.777846584,33408.8843384633,141471.893508432,77464.3473589301
"2004","1","8",375219.700331689,77157.8277666528,298061.872565449,211036.061606004
"2004","1","9",27905.8165585306,7644.60137958956,20261.215178951,22680.5251856377
"2004","2","1",446134.501076653,34573.1309125246,411561.370164128,82618.0439944362
"2004","2","10",326528.268515479,41535.4661605443,284992.802354363,106991.734984619
"2004","2","11",680682.6109054,1065.68876413284,679616.922141267,2708.44252590614
"2004","2","12",164550.69736668,9232.88612484145,155317.811241732,21767.7956737801
"2004","2","2",254485.477508566,24026.6044661852,230458.87304244,96717.9758512697
"2004","2","3",771267.597168255,45729.9616451868,725537.63552305,178543.182228226
"2004","2","4",1313460.10588759,195501.577464529,1117958.5284235,654930.346077346
"2004","2","5",992919.978457909,90647.9637206613,902272.01473705,284949.769601211
"2004","2","6",986763.088439835,74631.0337323729,912132.054708611,198580.892458844
"2004","2","7",409981.635235928,31396.6839439733,378584.951292236,99903.5667238228
"2004","2","8",799979.915304775,114484.025087481,685495.890218032,320181.034744787
"2004","2","9",11432.9591228641,493.398162114073,10939.56096075,1451.82409202753
"2005","1","1",72339.4496133265,25208.7975877385,47130.652025588,72124.3855164446
"2005","1","10",8125.97691776922,2746.05137389045,5379.925543905,7634.66469796013
"2005","1","11",8208.21983466,70.74419332,8137.47564134,242.34237042632
"2005","1","12",6940.405293424,0,6940.405293424,0
"2005","1","2",20422.0973101787,19492.7937190567,929.303591122,47224.1405766331
"2005","1","3",73204.1971251253,12313.3673407427,60890.82978489,32303.3314312966
"2005","1","4",264408.955111271,143836.148527697,120572.806583574,353254.739551892
"2005","1","5",42436.4757943664,17014.0734875633,25422.402306808,48307.6168939482
"2005","1","6",127855.482062005,14078.8170044539,113776.66505756,36441.3092211723
"2005","1","7",121120.781637433,15219.6868807323,105901.0947567,42374.1672233317
"2005","1","8",75980.9805116529,14324.5801938719,61656.400317781,42926.1230520435
"2005","1","9",57129.5623193213,19336.2161965337,37793.346122754,58966.9825532348
"2005","2","1",233194.19720531,18483.9463982641,214710.250805528,60629.3395088306
"2005","2","10",54793.8952946881,93.4557047880778,54700.4395899,197.631587575263
